keming,fenshu
创新创业基础,80
大学生劳动教育,85
大学生人文素养,85
形势与政策4,85
大数据处理Spark课程实训,60
Python高级应用开发,88
Python高级应用开发课程实训,80
数据仓库Hive+HBase,82
GIS技术与应用,85
大数据处理Spark,98
前段数据处理Vue.js,73
中国共产党党史,64.5
网店运营(网络课16课时),80
