press,allsum
台海出版社,42.0
中国人民大学出版社,89.0
中国电力出版社,177.0
清华大学出版社,376.2
中国水利水电出版社,429.0
北京大学出版社,474.0
吉林大学出版社,817.7999999999998
机械工业出版社,1201.0
电子工业出版社,1333.9
人民邮电出版社,3858.0
